,rank,major,degree_type,early_career_pay,mid_career_pay,percentage_high_meaning
0,1,Petroleum Engineering,Bachelors,"$93,200","$187,300",67%
1,2,Operations Research & Industrial Engineering,Bachelors,"$84,800","$170,400",28%
2,3,Electrical Engineering & Computer Science (EECS),Bachelors,"$108,500","$159,300",46%
3,4,Interaction Design,Bachelors,"$68,300","$155,800",55%
4,5,Public Accounting,Bachelors,"$59,800","$147,700",47%
5,6,Operations Research,Bachelors,"$83,500","$147,400",54%
6,7,Applied Economics and Management,Bachelors,"$66,100","$146,400",67%
7,8,Business Computing (BC),Bachelors,"$73,000","$143,600",-
8,9,Actuarial Mathematics,Bachelors,"$64,300","$143,400",51%
9,10,Electrical Power Engineering,Bachelors,"$76,100","$142,600",68%
10,11,Information & Computer Science,Bachelors,"$58,600","$140,900",62%
11,12,Aeronautics & Astronautics,Bachelors,"$77,600","$139,600",56%
12,13,Systems Engineering,Bachelors,"$77,700","$139,200",53%
13,14,Econometrics,Bachelors,"$64,200","$139,000",35%
14,15,Pharmacy,Bachelors,"$68,600","$138,700",78%
15,16,Aerospace Studies,Bachelors,"$55,800","$136,600",-
16,17,Building Science,Bachelors,"$53,800","$135,900",53%
17,17,Chemical Engineering,Bachelors,"$76,900","$135,900",55%
18,19,Cognitive Science,Bachelors,"$68,700","$135,200",42%
19,20,Actuarial Science,Bachelors,"$67,700","$134,400",43%
20,21,Political Economy,Bachelors,"$65,100","$133,500",29%
21,22,Computer Systems Engineering,Bachelors,"$79,000","$133,200",51%
22,23,Electrical & Computer Engineering (ECE),Bachelors,"$78,100","$131,600",49%
23,24,Computer Science (CS) & Engineering,Bachelors,"$79,400","$131,300",44%
24,24,Marine Engineering,Bachelors,"$79,900","$131,300",60%
25,26,Aeronautical Engineering,Bachelors,"$74,700","$131,100",66%
26,27,Computer Engineering (CE),Bachelors,"$79,000","$131,000",46%
27,28,Naval Architecture & Marine Engineering,Bachelors,"$74,400","$130,700",49%
28,29,Entrepreneurship & Marketing,Bachelors,"$51,400","$129,800",45%
29,30,Corporate Accounting & Finance,Bachelors,"$65,200","$129,700",55%
30,31,Mechatronics,Bachelors,"$72,800","$129,600",48%
31,32,Nuclear Engineering,Bachelors,"$76,400","$129,400",62%
32,33,Electrical Engineering (EE),Bachelors,"$75,600","$127,700",54%
33,33,Foreign Affairs,Bachelors,"$54,800","$127,700",36%
34,35,Marine Transportation Management,Bachelors,"$71,100","$127,500",-
35,36,Mechanical & Aeronautical Engineering,Bachelors,"$70,900","$126,900",60%
36,37,Welding Engineering,Bachelors,"$81,000","$126,600",56%
37,38,Instrumentation & Control Engineering,Bachelors,"$73,100","$126,400",-
38,39,Computational & Applied Mathematics,Bachelors,"$75,500","$126,000",45%
39,40,Electrical & Electronics Engineering (EEE),Bachelors,"$74,700","$125,800",56%
40,41,Aerospace Engineering,Bachelors,"$74,300","$125,700",55%
41,42,Astronomy,Bachelors,"$66,600","$125,400",47%
42,42,Optical Science & Engineering,Bachelors,"$71,000","$125,400",-
43,42,Quantitative Business Analysis,Bachelors,"$74,000","$125,400",37%
44,45,Computer Science (CS) & Mathematics,Bachelors,"$70,500","$125,100",43%
45,46,Industrial & Systems Engineering,Bachelors,"$73,100","$124,800",48%
46,47,Economics and Mathematics,Bachelors,"$68,200","$124,100",35%
47,48,Biomedical Engineering (BME),Bachelors,"$71,300","$123,600",72%
48,48,Managerial Economics,Bachelors,"$65,200","$123,600",41%
49,50,Computer Science (CS),Bachelors,"$75,100","$123,400",42%
50,50,Physics & Astronomy,Bachelors,"$56,500","$123,400",36%
51,52,Petroleum Land Management,Bachelors,"$59,300","$123,100",-
52,52,Bioscience,Bachelors,"$49,200","$123,100",-
53,54,Electronics & Communications Engineering,Bachelors,"$67,400","$122,900",51%
54,55,Control Engineering,Bachelors,"$69,700","$122,800",61%
55,56,Pharmacology,Bachelors,"$57,700","$122,700",-
56,57,Business Analysis,Bachelors,"$63,200","$122,300",46%
57,58,Aeronautical Science & Engineering,Bachelors,"$56,000","$122,200",50%
58,58,Metallurgical Engineering,Bachelors,"$81,800","$122,200",61%
59,60,Engineering Science,Bachelors,"$67,900","$122,100",45%
60,61,Applied Mathematics,Bachelors,"$68,300","$122,000",40%
61,62,Chemical & Biomolecular Engineering,Bachelors,"$76,800","$121,900",48%
62,63,Materials Science,Bachelors,"$67,100","$121,800",-
63,64,Engineering,Bachelors,"$69,900","$121,700",59%
64,65,Ocean Engineering (OE),Bachelors,"$69,400","$121,400",51%
65,66,Bioengineering (BioE),Bachelors,"$70,900","$121,300",67%
66,67,Aeronautical/Aerospace Engineering Technology,Bachelors,"$76,900","$121,200",53%
67,68,Integrated Science & Technology,Bachelors,"$65,200","$121,100",56%
68,69,Operations Management & Information Systems,Bachelors,"$66,100","$120,900",38%
69,70,Software Engineering,Bachelors,"$75,000","$120,000",43%
70,71,Physics,Bachelors,"$65,900","$119,700",48%
71,72,Quantitative Economics,Bachelors,"$65,000","$119,600",43%
72,73,Computer & Information Science,Bachelors,"$63,600","$119,500",55%
73,74,Geophysics,Bachelors,"$58,000","$119,000",47%
74,75,Accounting & Economics,Bachelors,"$65,900","$118,900",44%
75,76,Physician Assistant Studies,Bachelors,"$95,900","$118,500",84%
76,77,Mining Engineering,Bachelors,"$78,800","$118,300",64%
77,78,Construction Engineering Management,Bachelors,"$68,800","$118,200",57%
78,79,Mechanical Engineering (ME),Bachelors,"$71,000","$117,600",50%
79,80,Materials Science & Engineering,Bachelors,"$72,700","$117,500",47%
80,81,Engineering Mechanics,Bachelors,"$75,500","$117,400",-
81,81,Industrial Engineering (IE),Bachelors,"$71,900","$117,400",44%
82,81,International Business & Finance,Bachelors,"$61,400","$117,400",31%
83,84,Accounting & Computer Systems,Bachelors,"$63,000","$117,300",37%
84,85,Business & Information Technology (IT),Bachelors,"$60,100","$116,900",44%
85,86,Applied Physics,Bachelors,"$67,300","$116,500",52%
86,87,International Economics,Bachelors,"$58,700","$116,300",48%
87,88,Business & Economics,Bachelors,"$59,600","$116,200",46%
88,89,Ceramic Engineering,Bachelors,"$69,200","$115,700",-
89,89,Economics,Bachelors,"$62,000","$115,700",41%
90,89,Pharmaceutical Sciences (PS),Bachelors,"$52,800","$115,700",69%
91,92,Telecommunications Engineering,Bachelors,"$66,400","$115,400",47%
92,93,Information & Decision Sciences,Bachelors,"$65,200","$115,200",33%
93,93,Materials Engineering,Bachelors,"$72,300","$115,200",58%
94,93,Paper Science,Bachelors,"$77,000","$115,200",39%
95,96,Asian Studies,Bachelors,"$47,700","$115,100",41%
96,96,Structural Engineering (SE),Bachelors,"$67,800","$115,100",66%
97,98,Industrial Distribution,Bachelors,"$63,600","$115,000",48%
98,99,Management Information Systems (MIS),Bachelors,"$65,000","$114,100",42%
99,100,Electronics Engineering,Bachelors,"$69,600","$113,900",66%
100,100,Finance & Economics,Bachelors,"$62,600","$113,900",42%
101,102,Medical Science,Bachelors,"$52,000","$113,800",-
102,102,Japanese Studies,Bachelors,"$51,500","$113,800",21%
103,102,Automotive Engineering,Bachelors,"$67,300","$113,800",48%
104,105,Information Management,Bachelors,"$64,300","$112,800",38%
105,106,Management Science,Bachelors,"$64,600","$112,700",43%
106,106,Mechanical,Bachelors,"$70,200","$112,700",54%
107,108,Construction Engineering,Bachelors,"$67,300","$112,500",59%
108,109,Finance & Investments,Bachelors,"$64,100","$112,400",44%
109,109,Mathematics & Statistics,Bachelors,"$63,100","$112,400",43%
110,111,Information Systems Management,Bachelors,"$59,200","$112,300",49%
